entreprise,secteur,code_naf,email
MICKAEL JIMENEZ,"Autres activités spécialisées, scientifiques",74.10Z,
MIKYAL SYSTEM,"Autres activités spécialisées, scientifiques",74.90B,
MLKA,"Autres activités spécialisées, scientifiques",74.90A,
NADIA MAKSEM,"Autres activités spécialisées, scientifiques",74.10Z,
NADJET BOUADLA,"Autres activités spécialisées, scientifiques",74.90B,
NEGAR YAHAGHI,"Autres activités spécialisées, scientifiques",74.30Z,
NJOLAI PACHOMIUS,"Autres activités spécialisées, scientifiques",74.10Z,
OLIVIER DERYCKE,"Autres activités spécialisées, scientifiques",74.20Z,
PASSION FOTO,"Autres activités spécialisées, scientifiques",74.20Z,
PAULO FERREIRA,"Autres activités spécialisées, scientifiques",74.20Z,
PEGGY AUGUSTE,"Autres activités spécialisées, scientifiques",74.10Z,
RACHID MEHIAOUI,"Autres activités spécialisées, scientifiques",74.90B,
RCD CONCEPT,"Autres activités spécialisées, scientifiques",74.90B,
RECITS CONSULTING,"Autres activités spécialisées, scientifiques",74.90B,
REMI TAN,"Autres activités spécialisées, scientifiques",74.10Z,
RODRIGO LUDUWIK CORREA DA CONCEICAO,"Autres activités spécialisées, scientifiques",74.10Z,
SABINE IRRO-WAGNER,"Autres activités spécialisées, scientifiques",74.30Z,
SAMCOH,"Autres activités spécialisées, scientifiques",74.10Z,
SARL EIFFEL DESIGN,"Autres activités spécialisées, scientifiques",74.10Z,
SAY ARCHITECTURE,"Autres activités spécialisées, scientifiques",74.10Z,
SEKOU MORY COULIBALY,"Autres activités spécialisées, scientifiques",74.10Z,
SGS CARDS,"Autres activités spécialisées, scientifiques",74.90B,
SINETH KEO INTERPRETARIAT,"Autres activités spécialisées, scientifiques",74.30Z,
STEFAN HRNCIAR,"Autres activités spécialisées, scientifiques",74.10Z,
STEVEN ING,"Autres activités spécialisées, scientifiques",74.10Z,
STUDIO LAIXOO,"Autres activités spécialisées, scientifiques",74.10Z,
T.P.H.FRANCE,"Autres activités spécialisées, scientifiques",74.90A,
TDR,"Autres activités spécialisées, scientifiques",74.10Z,
TERRES D'ENVOL HABITAT,"Autres activités spécialisées, scientifiques",74.90B,
TLS AZUR,"Autres activités spécialisées, scientifiques",74.10Z,
TRENECO,"Autres activités spécialisées, scientifiques",74.90B,
YNOA JUDEX JUNIOR VIOTTY,"Autres activités spécialisées, scientifiques",74.10Z,
DELTA PLUS SYSTEMS,Autres industries manufacturières,32.30Z,
DENTALVIEW,Autres industries manufacturières,32.50A,
ITENA CLINICAL,Autres industries manufacturières,32.50A,
LE BIJOUX DE LILI,Autres industries manufacturières,32.13Z,
MENICON SAS,Autres industries manufacturières,32.50B,
MYMY BEAUTE,Autres industries manufacturières,32.99Z,
TEST FOR SAFE,Autres industries manufacturières,32.50A,
VERONIQUE WAGNER,Autres industries manufacturières,32.99Z,
VIADENTIS,Autres industries manufacturières,32.50A,
A L'ULTIME REPOS,Autres services personnels,96.03Z,
ABDOULAYE DRAME,Autres services personnels,96.09Z,
ACHRAF CHAIBI BENAMAR,Autres services personnels,96.02A,
ADLANEXPRESS,Autres services personnels,96.09Z,
ADRIANA IONITA,Autres services personnels,96.02B,
AESTHETIK & CO,Autres services personnels,96.02B,
AF COACHING,Autres services personnels,96.09Z,
AITLOUNIS AMOUKRANE,Autres services personnels,96.09Z,
ALAMASSAGE,Autres services personnels,96.04Z,
ALIOU DJANCO,Autres services personnels,96.09Z,
ANAMAY MASSAGES,Autres services personnels,96.04Z,
ANNE-LAURE BOUTRIN,Autres services personnels,96.09Z,
ANY'STUDIO,Autres services personnels,96.02A,
ARLETTE NGUYEN,Autres services personnels,96.09Z,
AURORE HERVE,Autres services personnels,96.02B,
AZDINE MEGHZILI,Autres services personnels,96.09Z,
BASEM MOUSTAFA,Autres services personnels,96.09Z,
BEAUTAY,Autres services personnels,96.02B,
BEAUTE D EDEN,Autres services personnels,96.02A,
BEAUTY BY HORIA,Autres services personnels,96.02B,
BELLISSIMA,Autres services personnels,96.02B,
BEST COIFFE,Autres services personnels,96.02A,
BEZENGA TATOO,Autres services personnels,96.09Z,
BLACK BARBER,Autres services personnels,96.02A,
BODY BALANCE,Autres services personnels,96.09Z,
BRENDA-THERESE MBANZANI DIEYITONDULUA,Autres services personnels,96.02B,
BS VIP,Autres services personnels,96.09Z,
BY LYA BELLAMY,Autres services personnels,96.02A,
CAROLE SANDRINE GRENIER,Autres services personnels,96.09Z,
CATHERINE COMTE,Autres services personnels,96.09Z,
CHEZ CALINOU,Autres services personnels,96.09Z,
CHIKHI BOY,Autres services personnels,96.02A,
CHRISTELLE NASSO,Autres services personnels,96.09Z,
CISSOKHO BATOUROU AMY,Autres services personnels,96.09Z,
CLAIR BEAUTY,Autres services personnels,96.02A,
CLAIRE COTHIER,Autres services personnels,96.02B,
CMYNAILZ,Autres services personnels,96.02B,
COIF N CHICS,Autres services personnels,96.02A,
COIFF & BEST,Autres services personnels,96.02A,
COIFFURE DE LA FONTAINE,Autres services personnels,96.02A,
CORALIE COIF',Autres services personnels,96.02A,
CORINNE HAGEGE,Autres services personnels,96.09Z,
COULEUR CHATAIGNE,Autres services personnels,96.02B,
CREATION 2000,Autres services personnels,96.02A,
DLM GRAVURE,Autres services personnels,96.03Z,
DREAM COIFFURE,Autres services personnels,96.02A,
DS BEAUTE,Autres services personnels,96.02B,
EDITH FANSI KWOUOSSU,Autres services personnels,96.09Z,
ELEMA HAIR,Autres services personnels,96.02A,
ELLE COIFFE,Autres services personnels,96.02A,
ELODIE GOVINDINCHETTY,Autres services personnels,96.02B,
ELOIM VARIER,Autres services personnels,96.09Z,
EURAISE,Autres services personnels,96.09Z,
EXPERIENCE BEAUTE,Autres services personnels,96.04Z,
FARCHE AHMED,Autres services personnels,96.09Z,
FIVE STARS 75,Autres services personnels,96.09Z,
FLORENCE.G COACH&CO,Autres services personnels,96.09Z,
FRANCK CLEMENT,Autres services personnels,96.09Z,
FULL MOON CLUBBING,Autres services personnels,96.09Z,
GUEASSEMOU BLE,Autres services personnels,96.09Z,
HANAMI,Autres services personnels,96.02B,
HARAKATI,Autres services personnels,96.04Z,
HENNA DAY,Autres services personnels,96.02B,
HMK.PHOTOGRAPHE,Autres services personnels,96.09Z,
HOLISKIM,Autres services personnels,96.09Z,
HOUARI OMNIA,Autres services personnels,96.09Z,
ILYES KHEROUA,Autres services personnels,96.09Z,
INELLYS,Autres services personnels,96.02B,
INES GLOW,Autres services personnels,96.02B,
INSTANLOC,Autres services personnels,96.09Z,
INSTITUT DE BEAUTE LENA,Autres services personnels,96.02B,
IOCI-AR,Autres services personnels,96.09Z,
J M B VILLEPINTE FUNERAIRE,Autres services personnels,96.03Z,
JENNY COIFF,Autres services personnels,96.02A,
JEREBA BOUNE,Autres services personnels,96.09Z,
JESSICA ODETTE BIANCO,Autres services personnels,96.09Z,
JORDAN MEZENCE,Autres services personnels,96.09Z,
KISI LUSEKO LIVGAEL,Autres services personnels,96.09Z,
KOTTI BARBER,Autres services personnels,96.02A,
L B COIFFURE,Autres services personnels,96.02A,
L'ART DU CHEVEU BY DIANA,Autres services personnels,96.02A,
L'ESSENTIEL COIFFURE,Autres services personnels,96.02A,
LALA KBEAUTY,Autres services personnels,96.02B,
LALA TRAORE,Autres services personnels,96.09Z,
LANOUE COIFFURE,Autres services personnels,96.02A,
LAVERIE C'CLEAN,Autres services personnels,96.01B,
LAVERIE C'CLEAN GO,Autres services personnels,96.01B,
LE LY,Autres services personnels,96.02B,
LES CISEAUX D'OR,Autres services personnels,96.02A,
LES LAVERIES DE PARIS,Autres services personnels,96.01B,
LES MASSAGES BY VAI,Autres services personnels,96.04Z,
LILLI BEAUTY ACADEMY,Autres services personnels,96.02B,
LINDA ESTHETIQUE,Autres services personnels,96.02A,
LOVELLY BEAUTY,Autres services personnels,96.02B,
LUCE MATHURIN,Autres services personnels,96.02B,
LUNE,Autres services personnels,96.01B,
M'EDWICOIF,Autres services personnels,96.02A,
MADALENA COIFFURE,Autres services personnels,96.02A,
MAISON FUNERAIRE SOISSONS,Autres services personnels,96.03Z,
MALAR 2,Autres services personnels,96.01B,
MALENA KRSANIN GARCIA,Autres services personnels,96.02B,
MALICK MARIE-CLAIRE,Autres services personnels,96.02A,
MARGAUX HERTERT,Autres services personnels,96.09Z,
MARINA JENNIFER LAURIER,Autres services personnels,96.09Z,
MARTINE GUY,Autres services personnels,96.02B,
MASSINISSA BOUDAOUD,Autres services personnels,96.09Z,
MATHIS NJONKOU,Autres services personnels,96.09Z,
MELIS DOGAN,Autres services personnels,96.02B,
MICKAEL JOSEPH,Autres services personnels,96.03Z,
MIEZI MAKOSSO,Autres services personnels,96.09Z,
MOHAMED BETTAYEB,Autres services personnels,96.09Z,
MOUHAMOUD KABA,Autres services personnels,96.04Z,
MYLYA BIEN ETRE,Autres services personnels,96.02B,
MYSAFGLAM,Autres services personnels,96.09Z,
NABIL SAOUD,Autres services personnels,96.09Z,
NADIA HAOUACH,Autres services personnels,96.09Z,
NADINE MEREL,Autres services personnels,96.04Z,
NAILSBEAUTY,Autres services personnels,96.02B,
NC BEAUTY,Autres services personnels,96.02B,
NEDY BEAUTY,Autres services personnels,96.02B,
NIRUSHAN THAYAPARAN,Autres services personnels,96.09Z,
NOAH HOULLE,Autres services personnels,96.09Z,
NOUR COIFFURE,Autres services personnels,96.02A,
O'CLOS COIFFURE,Autres services personnels,96.02A,
OMAR LASSOUAG,Autres services personnels,96.09Z,
OMAR MAHRAZ,Autres services personnels,96.09Z,
ONFLEEKBYSAF,Autres services personnels,96.02B,
PATRICIA TOBELI,Autres services personnels,96.02B,
PEERAPORN SOMSRISAI,Autres services personnels,96.04Z,
PFG - SERVICES FUNERAIRES,Autres services personnels,96.03Z,
PHILEO TRAITEUR EVENTS,Autres services personnels,96.09Z,
POUVREAU LEANE,Autres services personnels,96.09Z,
ROC ECLERC,Autres services personnels,96.03Z,
ROMEO QUENUM,Autres services personnels,96.09Z,
ROSYLIANE NOEL,Autres services personnels,96.09Z,
S.K.H,Autres services personnels,96.09Z,
S.L BEAUTE,Autres services personnels,96.02B,
S3,Autres services personnels,96.02A,
SAB LUXURY DRESS,Autres services personnels,96.09Z,
SABRINA TEBSI,Autres services personnels,96.02B,
SAFAH GAINE,Autres services personnels,96.09Z,
SALIM OMRANE,Autres services personnels,96.09Z,
SAMI BOUYAHIA,Autres services personnels,96.09Z,
SAMIHA BEAUTY,Autres services personnels,96.02B,
SANDRINE HANNE,Autres services personnels,96.02B,
SCHNEIDER NATHAN PERROD,Autres services personnels,96.09Z,
SELESTE SCIC,Autres services personnels,96.03Z,
SERIWATH LAU,Autres services personnels,96.09Z,
SEVERINE CHARLES,Autres services personnels,96.04Z,
SHAKILY,Autres services personnels,96.04Z,
SHERIF MOUSTAFA,Autres services personnels,96.09Z,
SILVIA DE GOIS,Autres services personnels,96.02B,
SONIDE MICHEL,Autres services personnels,96.09Z,
SOUMARE BAMBI,Autres services personnels,96.09Z,
STEPHANIE COIFFURE,Autres services personnels,96.02A,
SVRN COIFFURE,Autres services personnels,96.02A,
SYLVAINE SAPIN,Autres services personnels,96.03Z,
SYMPHORIEN BILOLO NGINDU,Autres services personnels,96.09Z,
TARIK OULD GOUGAM,Autres services personnels,96.09Z,
TAYLOR EUGENE,Autres services personnels,96.09Z,
THI ANH THY HUYNH,Autres services personnels,96.02B,
TOILETTAGE DU VERT GALANT,Autres services personnels,96.09Z,
TOUCHE FINALE COIFFURE ET ESTHETIQU,Autres services personnels,96.02A,
TRAVAILLEUR LIBERALE,Autres services personnels,96.09Z,
VENTE DE CONCEPT,Autres services personnels,96.09Z,
VIKTORIIA TER-OHANESIAN,Autres services personnels,96.02B,
VINCENT FROMENT,Autres services personnels,96.09Z,
WISSEM COIFFURE,Autres services personnels,96.02A,
YMAN LAMSAK,Autres services personnels,96.04Z,
DEPANNAGES FOURNITURES MAINTENANCE,Captage / traitement / distribution d'eau,36.00Z,
FRANCILIANE,Captage / traitement / distribution d'eau,36.00Z,
MTD FRANCE SARL,Captage / traitement / distribution d'eau,36.00Z,
CONIBI,Collecte / traitement des déchets,38.32Z,
CRISTINA SI IONUT,Collecte / traitement des déchets,38.32Z,
DEBARRAS RAPIDE,Collecte / traitement des déchets,38.11Z,
HUBENCY,Collecte / traitement des déchets,38.32Z,
JASMIN,Collecte / traitement des déchets,38.11Z,
DK-ASSAINISSEMENT,Collecte et traitement des eaux usées,37.00Z,
"""EUROCCASIONS 45""",Commerce / réparation automobiles et motos,45.11Z,
ABDELHAMID GAMRAOUI,Commerce / réparation automobiles et motos,45.31Z,
ABDOULAYE TRAORE,Commerce / réparation automobiles et motos,45.11Z,
ABM AUTO,Commerce / réparation automobiles et motos,45.11Z,
ADAM AUTO,Commerce / réparation automobiles et motos,45.19Z,
AKB,Commerce / réparation automobiles et motos,45.11Z,
AL CLEANING,Commerce / réparation automobiles et motos,45.20A,
ALY ROSE AUTO,Commerce / réparation automobiles et motos,45.20A,
AMADOU BA,Commerce / réparation automobiles et motos,45.11Z,
AMDE AUTO,Commerce / réparation automobiles et motos,45.20A,
AMJ CARS,Commerce / réparation automobiles et motos,45.11Z,
ANGELO DE ANDRADE,Commerce / réparation automobiles et motos,45.20A,
ANI AUTO,Commerce / réparation automobiles et motos,45.11Z,
ARM AUTO,Commerce / réparation automobiles et motos,45.11Z,
AS AUTO SERVICE,Commerce / réparation automobiles et motos,45.11Z,
ASWCN AUTO,Commerce / réparation automobiles et motos,45.11Z,
AUTO PRO SERVICE BEN,Commerce / réparation automobiles et motos,45.20A,
AUTO SERVICE VILLEPINTE,Commerce / réparation automobiles et motos,45.20A,
AUTOFILANTE,Commerce / réparation automobiles et motos,45.11Z,
AUTOMOBILES REUNION SN,Commerce / réparation automobiles et motos,45.11Z,
B AUTO SERVICES,Commerce / réparation automobiles et motos,45.11Z,
BABY AUTO,Commerce / réparation automobiles et motos,45.11Z,
BAMITEL,Commerce / réparation automobiles et motos,45.11Z,
BAMY EXPORT,Commerce / réparation automobiles et motos,45.11Z,
BELGIAN BUS FRANCE,Commerce / réparation automobiles et motos,45.19Z,
BENJAMIN MAIGROT,Commerce / réparation automobiles et motos,45.11Z,
BGA PRESTIGE,Commerce / réparation automobiles et motos,45.11Z,
BILAL ARABI,Commerce / réparation automobiles et motos,45.11Z,
BT AUTOMOBILES,Commerce / réparation automobiles et motos,45.20A,
BUSINESS CENTER,Commerce / réparation automobiles et motos,45.11Z,
CARBYCASH,Commerce / réparation automobiles et motos,45.11Z,
CARMO,Commerce / réparation automobiles et motos,45.11Z,
CEDRIC BOUBAKER,Commerce / réparation automobiles et motos,45.32Z,
CHAKIL AHMED,Commerce / réparation automobiles et motos,45.11Z,
CIHAN LOC AND GLASS,Commerce / réparation automobiles et motos,45.20A,
CLEAN FAST AUTO,Commerce / réparation automobiles et motos,45.20A,
CLOISONS-PRO,Commerce / réparation automobiles et motos,45.20A,
COTRANS-AUTOMOBILES,Commerce / réparation automobiles et motos,45.11Z,
CR DREAM MOTORS,Commerce / réparation automobiles et motos,45.11Z,
DAF TRUCKS FRANCE,Commerce / réparation automobiles et motos,45.20B,
DAVID AUTOMOBILES,Commerce / réparation automobiles et motos,45.11Z,
DOUBS GLASS,Commerce / réparation automobiles et motos,45.32Z,
DOUCOURE AUTO,Commerce / réparation automobiles et motos,45.20A,
DR NETTOYAGE,Commerce / réparation automobiles et motos,45.20A,
DRIVEFORSHINE,Commerce / réparation automobiles et motos,45.20A,
E.K.J PNEUS,Commerce / réparation automobiles et motos,45.32Z,
EASY CARS,Commerce / réparation automobiles et motos,45.11Z,
EASYAUTO,Commerce / réparation automobiles et motos,45.11Z,
EDDY EUZEBE,Commerce / réparation automobiles et motos,45.20A,
EDIZ AUTO,Commerce / réparation automobiles et motos,45.11Z,
EGA,Commerce / réparation automobiles et motos,45.20A,
ELITE,Commerce / réparation automobiles et motos,45.11Z,
ELITE CARS,Commerce / réparation automobiles et motos,45.11Z,
EURO - DEPAN 93,Commerce / réparation automobiles et motos,45.20A,
EXCELLENCE CONSULTING,Commerce / réparation automobiles et motos,45.11Z,
EXPERT DEPANN'AUTO 94,Commerce / réparation automobiles et motos,45.20A,
FAYCAL SOULA,Commerce / réparation automobiles et motos,45.11Z,
FG SOLUTIONS,Commerce / réparation automobiles et motos,45.11Z,
FRANCE PARE-BRISE,Commerce / réparation automobiles et motos,45.20A,
FRANCILIENNE AUTO,Commerce / réparation automobiles et motos,45.11Z,
FRIDGETOGO,Commerce / réparation automobiles et motos,45.19Z,
FURIOUS LOC,Commerce / réparation automobiles et motos,45.11Z,
GARAGE AMBULANT NON STOP,Commerce / réparation automobiles et motos,45.20A,
GARAGE AUTOMOBILE DAVY,Commerce / réparation automobiles et motos,45.20A,
GARAGE DES AULNES,Commerce / réparation automobiles et motos,45.20A,
GARAGE DIDEROT,Commerce / réparation automobiles et motos,45.11Z,
GARAGE HENRI IV,Commerce / réparation automobiles et motos,45.20A,
GARAGE MOBILE KE,Commerce / réparation automobiles et motos,45.20A,
GARAGE VERT GALANT,Commerce / réparation automobiles et motos,45.20A,
GDV78,Commerce / réparation automobiles et motos,45.31Z,
GJ AUTO,Commerce / réparation automobiles et motos,45.11Z,
GLASS CENTER,Commerce / réparation automobiles et motos,45.20A,
GLM PRESTIGE,Commerce / réparation automobiles et motos,45.11Z,
GORAN BONIFACE,Commerce / réparation automobiles et motos,45.20A,
GROUPE EURO-DEPAN,Commerce / réparation automobiles et motos,45.20A,
GT CAR,Commerce / réparation automobiles et motos,45.11Z,
GUIOT AUTOMOBILES,Commerce / réparation automobiles et motos,45.11Z,
GUY DESSERT,Commerce / réparation automobiles et motos,45.11Z,
HAMIDOU TRAORE,Commerce / réparation automobiles et motos,45.11Z,
HB PRESTIGE CARS,Commerce / réparation automobiles et motos,45.11Z,
HEXA CONCEPT,Commerce / réparation automobiles et motos,45.11Z,
HICHEM BOUCHTA,Commerce / réparation automobiles et motos,45.20A,
HOME  CAR WASH,Commerce / réparation automobiles et motos,45.20A,
HYDRO MOTOR,Commerce / réparation automobiles et motos,45.20A,
I.S CAR'S,Commerce / réparation automobiles et motos,45.11Z,
IDEAL AUTO 37,Commerce / réparation automobiles et motos,45.11Z,
IDF CAR,Commerce / réparation automobiles et motos,45.11Z,
INTER AUTOMOBILES,Commerce / réparation automobiles et motos,45.11Z,
IVECO FRANCE,Commerce / réparation automobiles et motos,45.11Z,
IZARI CAR,Commerce / réparation automobiles et motos,45.20A,
JF RACE,Commerce / réparation automobiles et motos,45.20A,
JMC,Commerce / réparation automobiles et motos,45.11Z,
JT SERVICES,Commerce / réparation automobiles et motos,45.11Z,
JUMBO PNEUS VILLEPINTE 93,Commerce / réparation automobiles et motos,45.32Z,
K-B AUTO,Commerce / réparation automobiles et motos,45.11Z,
K.L.I,Commerce / réparation automobiles et motos,45.11Z,
KAMAL BOUCHAMA,Commerce / réparation automobiles et motos,45.11Z,
KEY MOTORS,Commerce / réparation automobiles et motos,45.11Z,
KHN AUTO,Commerce / réparation automobiles et motos,45.11Z,
KOBRA TUNING,Commerce / réparation automobiles et motos,45.11Z,
KOREAN MOTORS CAR,Commerce / réparation automobiles et motos,45.11Z,
L M CARS,Commerce / réparation automobiles et motos,45.11Z,
L'ATELIER PIECES AUTO,Commerce / réparation automobiles et motos,45.31Z,
L.S.AUTO78,Commerce / réparation automobiles et motos,45.11Z,
LAVAGE FRANCILIEN DE L EST,Commerce / réparation automobiles et motos,45.20A,
LOCA CAR 75,Commerce / réparation automobiles et motos,45.20A,
LORI LOUISSAINT,Commerce / réparation automobiles et motos,45.11Z,
LWL AUTOS,Commerce / réparation automobiles et motos,45.20A,
M B PRO SERVICES,Commerce / réparation automobiles et motos,45.20A,
M.A.D GRAY CARD & SERVICES,Commerce / réparation automobiles et motos,45.11Z,
M.A.S.,Commerce / réparation automobiles et motos,45.20A,
M.T.P AUTO,Commerce / réparation automobiles et motos,45.11Z,
M2A AUTOMOBILE,Commerce / réparation automobiles et motos,45.20A,
MARTINIQUE AUTOMOBILES SN,Commerce / réparation automobiles et motos,45.11Z,
MARTINS DIAS,Commerce / réparation automobiles et motos,45.20A,
MATHIAS SAMUT,Commerce / réparation automobiles et motos,45.20A,
MAXIME ROUSSEAU,Commerce / réparation automobiles et motos,45.11Z,
MB CARS,Commerce / réparation automobiles et motos,45.11Z,
MBM CARS,Commerce / réparation automobiles et motos,45.11Z,
MCP GARAGE,Commerce / réparation automobiles et motos,45.20A,
MD WRAP,Commerce / réparation automobiles et motos,45.11Z,
MELDE AUTO,Commerce / réparation automobiles et motos,45.11Z,
MELWINDEPHANN,Commerce / réparation automobiles et motos,45.20A,
MEROUANE DEMDOUM,Commerce / réparation automobiles et motos,45.11Z,
MESNIL ACCESSOIRES VILLEPINTE,Commerce / réparation automobiles et motos,45.31Z,
MICHAEL OZDEN,Commerce / réparation automobiles et motos,45.20A,
MICKAEL OLIVIER RENAUDE,Commerce / réparation automobiles et motos,45.11Z,
MICKAYASS AUTOS,Commerce / réparation automobiles et motos,45.11Z,
MINANY SERVICES ACHAT ET VENTE DE VOITURES D'OCCASION,Commerce / réparation automobiles et motos,45.11Z,
MJ TRANSPORT,Commerce / réparation automobiles et motos,45.11Z,
MMSS AUTO,Commerce / réparation automobiles et motos,45.11Z,
MNK AUTOMOBILES,Commerce / réparation automobiles et motos,45.11Z,
MNL AUTO,Commerce / réparation automobiles et motos,45.11Z,
MO-AUTO,Commerce / réparation automobiles et motos,45.11Z,
MOBIFLEET,Commerce / réparation automobiles et motos,45.11Z,
MOHAMED SAID CHALH,Commerce / réparation automobiles et motos,45.20A,
MORAD REMINI,Commerce / réparation automobiles et motos,45.11Z,
MORINO MOTORS,Commerce / réparation automobiles et motos,45.11Z,
MOTORAC,Commerce / réparation automobiles et motos,45.31Z,
MOUNIR TOUBAOUI,Commerce / réparation automobiles et motos,45.11Z,
MY BCAR,Commerce / réparation automobiles et motos,45.11Z,
NAEL AUTO,Commerce / réparation automobiles et motos,45.11Z,
NG AUTOMOTO,Commerce / réparation automobiles et motos,45.11Z,
NH IMPORT EXPORT,Commerce / réparation automobiles et motos,45.11Z,
NIAMANA LOCATION,Commerce / réparation automobiles et motos,45.11Z,
NS,Commerce / réparation automobiles et motos,45.11Z,
PARIS NORD 2 AUTOMOBILE,Commerce / réparation automobiles et motos,45.20A,
PASCAL TARAYRE,Commerce / réparation automobiles et motos,45.11Z,
PNEUS PIRELLI,Commerce / réparation automobiles et motos,45.31Z,
POWER MOTORS,Commerce / réparation automobiles et motos,45.11Z,
PRESTIGE DEPANNAGE,Commerce / réparation automobiles et motos,45.11Z,
RAMO AUTO,Commerce / réparation automobiles et motos,45.11Z,
RAPID PARE BRISE,Commerce / réparation automobiles et motos,45.20A,
REALISATION DISTRIBUTION INNOVATION,Commerce / réparation automobiles et motos,45.31Z,
ROBOT AUTO,Commerce / réparation automobiles et motos,45.11Z,
RS AUTO,Commerce / réparation automobiles et motos,45.19Z,
S.O.S DEP REMORQUAGE,Commerce / réparation automobiles et motos,45.11Z,
SAM CAR,Commerce / réparation automobiles et motos,45.11Z,
SAPHIR AUTO EXPRESS,Commerce / réparation automobiles et motos,45.20A,
SARL ADC,Commerce / réparation automobiles et motos,45.20A,
SARL DALAMI AUTOS,Commerce / réparation automobiles et motos,45.11Z,
SC AUTO,Commerce / réparation automobiles et motos,45.11Z,
SERVICES CARS,Commerce / réparation automobiles et motos,45.20A,
SK AUTOMOBILE,Commerce / réparation automobiles et motos,45.20A,
SM CAR,Commerce / réparation automobiles et motos,45.20A,
SOCIETE DES GARAGES DE VILLEPINTE,Commerce / réparation automobiles et motos,45.11Z,
SOFAST,Commerce / réparation automobiles et motos,45.11Z,
SOS ELEVATEUR HAYON SERVICES,Commerce / réparation automobiles et motos,45.20A,
SPP,Commerce / réparation automobiles et motos,45.20A,
SQ FRANCE AUTOMOBILE,Commerce / réparation automobiles et motos,45.11Z,
SVARO,Commerce / réparation automobiles et motos,45.11Z,
SWB AUTO,Commerce / réparation automobiles et motos,45.11Z,
TRANSFERT DRIVER,Commerce / réparation automobiles et motos,45.11Z,
TYGROO PNEUS,Commerce / réparation automobiles et motos,45.20A,
VENDEZVOTREVOITURE.FR,Commerce / réparation automobiles et motos,45.11Z,
VENTACAR,Commerce / réparation automobiles et motos,45.11Z,
VILLEPINTE AUTOS SERVICES,Commerce / réparation automobiles et motos,45.11Z,
VR ACCESSOIRES,Commerce / réparation automobiles et motos,45.31Z,
WASSAUTO,Commerce / réparation automobiles et motos,45.11Z,
WM AUTOMOBILE,Commerce / réparation automobiles et motos,45.11Z,
WP AUTOS,Commerce / réparation automobiles et motos,45.20A,
WSA AUTOS,Commerce / réparation automobiles et motos,45.11Z,
YAHYA DAOUDI,Commerce / réparation automobiles et motos,45.11Z,
YASSINE FETTAH,Commerce / réparation automobiles et motos,45.20A,
YOUSSEF BOULAMAIZ,Commerce / réparation automobiles et motos,45.11Z,
YOUSSOUPH BADJI,Commerce / réparation automobiles et motos,45.11Z,
ZEN CARS,Commerce / réparation automobiles et motos,45.11Z,
2GK-MULTISERVICES,Commerce de détail,47.11B,
387118 VILLEPINTE EXPOS HALL 6,Commerce de détail,47.62Z,
A L B A,Commerce de détail,47.79Z,
A.B. MAREE,Commerce de détail,47.81Z,
AB. MAREE,Commerce de détail,47.81Z,
ABDECOM,Commerce de détail,47.91B,
ABDELFETTAH SEFRAOUI,Commerce de détail,47.89Z,
ABDELHAKIM OUASSA,Commerce de détail,47.89Z,
ABDELKRIM BOUJENANE,Commerce de détail,47.82Z,
ABDELKRIM HAFSAOUI,Commerce de détail,47.81Z,
ABDERRAHMAN EL FAQIR,Commerce de détail,47.82Z,
ABDUL MOHMAND,Commerce de détail,47.91A,
ADAMA,Commerce de détail,47.82Z,
ADC,Commerce de détail,47.41Z,
ADD-LAST,Commerce de détail,47.91B,
ADDTOCART,Commerce de détail,47.91A,
ADIL FAKIH,Commerce de détail,47.89Z,
AEG FAMILY,Commerce de détail,47.78A,
AGY BUSINESS HUB,Commerce de détail,47.91B,
AHMED HIZOUN,Commerce de détail,47.82Z,
AISHU MARCHE,Commerce de détail,47.11B,
AISSATA DOUCOURE,Commerce de détail,47.99A,
AKFIX FRANCE,Commerce de détail,47.89Z,
ALDI MARCHE,Commerce de détail,47.11D,
ALEXANDRE MARIE,Commerce de détail,47.91B,
ALEXIA GIDIS,Commerce de détail,47.99A,
ALI KALLASS,Commerce de détail,47.82Z,
ALIMENTATION DE VILLEPINTE,Commerce de détail,47.11B,
ALPHA CERAMIQUE,Commerce de détail,47.52A,
AMANDEEP KAUR,Commerce de détail,47.82Z,
AMAURY WELKER,Commerce de détail,47.99A,
AMINATA FOMBA,Commerce de détail,47.91A,
AMINATA KANTE,Commerce de détail,47.78C,
AMINATA SISSOKO,Commerce de détail,47.99A,
AMINE OUMELLAL,Commerce de détail,47.91A,
ANA GOMES SILVA MIRANDA,Commerce de détail,47.99A,
ANDRE CHLOE ROSEMAIN,Commerce de détail,47.99A,
ANDRE NOEL,Commerce de détail,47.89Z,
ANDREW MARDAYE,Commerce de détail,47.99A,
ANDY LAROCHELLE,Commerce de détail,47.99A,
ANTEP MARKET,Commerce de détail,47.11B,
APL OPTIC,Commerce de détail,47.78A,
ARMAND DONGA,Commerce de détail,47.81Z,
ARNAUD-KEVIN KOUBAKA,Commerce de détail,47.91A,
ARTISANIA CREATIONS,Commerce de détail,47.91B,
ASSA SISSOKO,Commerce de détail,47.82Z,
ASSOCIATION DISTRILIA,Commerce de détail,47.91A,
ASTA SALL,Commerce de détail,47.99A,
AU JARDIN DU PRE ET DES LILAS,Commerce de détail,47.81Z,
AU PETIT SON,Commerce de détail,47.74Z,
AUCHAN HOLDING,Commerce de détail,47.30Z,
